language,problem_number,suggestion,test_case,output,message
en,18,solution.py,01,10,
en,18,solution.py,02,739,
en,18,solution.py,03,5275,
en,18,solution.py,04,32491,
en,18,solution.py,05,168571,
en,18,solution.py,06,712891,
en,18,solution.py,07,2345851,
en,18,solution.py,08,739,
en,18,solution.py,09,32491,
en,18,solution.py,10,10,
en,18,solution.py,11,712891,
en,18,solution.py,12,5275,
en,18,solution.py,13,168571,
en,18,solution.py,14,91,
en,18,solution.py,15,2345851,
en,18,solution.py,sample_01,91,
en,18,solution.py,sample_02,1,
