language,problem_number,suggestion,test_case,output,message
en,33,solution.py,01,0,
en,33,solution.py,02,0,
en,33,solution.py,03,1,
en,33,solution.py,04,0,
en,33,solution.py,05,0,
en,33,solution.py,06,0,
en,33,solution.py,07,1,
en,33,solution.py,08,0,
en,33,solution.py,09,0,
en,33,solution.py,10,2,
en,33,solution.py,11,0,
en,33,solution.py,12,0,
en,33,solution.py,13,0,
en,33,solution.py,14,0,
en,33,solution.py,15,0,
en,33,solution.py,sample_01,7,
en,33,solution.py,sample_02,16,
