language,problem_number,suggestion,test_case,output,message
en,10,solution.py,01,2,
en,10,solution.py,02,0,
en,10,solution.py,03,3,
en,10,solution.py,04,0,
en,10,solution.py,05,4,
en,10,solution.py,06,6,
en,10,solution.py,07,4,
en,10,solution.py,08,3,
en,10,solution.py,09,5,
en,10,solution.py,10,7,
en,10,solution.py,11,2,
en,10,solution.py,12,2,
en,10,solution.py,13,3,
en,10,solution.py,14,3,
en,10,solution.py,15,1,
en,10,solution.py,sample_01,1,
en,10,solution.py,sample_02,2,
en,10,solution.py,sample_03,0,
