language,problem_number,suggestion,test_case,output,message
en,05,5.py,01,6210628,
en,05,5.py,02,6210628,
en,05,5.py,03,6210628,
en,05,5.py,04,6210628,
en,05,5.py,05,6210628,
en,05,5.py,06,6210628,
en,05,5.py,07,6210628,
en,05,5.py,08,6210628,
en,05,5.py,09,6210628,
en,05,5.py,10,6210628,
en,05,5.py,11,6210628,
en,05,5.py,12,6210628,
en,05,5.py,13,6210628,
en,05,5.py,14,6210628,
en,05,5.py,15,6210628,
en,05,5.py,sample_01,6210628,
en,05,5.py,sample_02,6210628,
en,05,5.py,sample_03,6210628,
