language,problem_number,suggestion,test_case,output,message
en,05,solution.py,01,9,
en,05,solution.py,02,10,
en,05,solution.py,03,9,
en,05,solution.py,04,8,
en,05,solution.py,05,11,
en,05,solution.py,06,10,
en,05,solution.py,07,9,
en,05,solution.py,08,8,
en,05,solution.py,09,8,
en,05,solution.py,10,10,
en,05,solution.py,11,9,
en,05,solution.py,12,9,
en,05,solution.py,13,11,
en,05,solution.py,14,8,
en,05,solution.py,15,8,
en,05,solution.py,sample_01,1,
en,05,solution.py,sample_02,2,
en,05,solution.py,sample_03,6,
