language,problem_number,suggestion,test_case,output,message
en,14,solution.py,01,6,
en,14,solution.py,02,18,
en,14,solution.py,03,108,
en,14,solution.py,04,162,
en,14,solution.py,05,729,
en,14,solution.py,06,1458,
en,14,solution.py,07,8748,
en,14,solution.py,08,13122,
en,14,solution.py,09,19683,
en,14,solution.py,10,236196,
en,14,solution.py,11,531441,
en,14,solution.py,12,1594323,
en,14,solution.py,13,6377292,
en,14,solution.py,14,19131876,
en,14,solution.py,15,774840978,
en,14,solution.py,sample_01,1,
en,14,solution.py,sample_02,36,
