language,problem_number,suggestion,test_case,output,message
en,01,7.py,01,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,02,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,03,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,04,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,05,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,06,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,07,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,08,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,09,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,10,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,11,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,12,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,13,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,14,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,15,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,sample_01,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,sample_02,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
en,01,7.py,sample_03,"[0, 1][1, 2][0, 1][0, 2][7, 15]",
