language,problem_number,suggestion,test_case,output,message
en,01,6.py,01,"[0, 11]",
en,01,6.py,02,"[5, 7]",
en,01,6.py,03,"[10, 15]",
en,01,6.py,04,"[0, 2]",
en,01,6.py,05,"[4, 6]",
en,01,6.py,06,"[3, 4]",
en,01,6.py,07,"[0, 4]",
en,01,6.py,08,"[2, 18]",
en,01,6.py,09,"[0, 3]",
en,01,6.py,10,"[0, 2]",
en,01,6.py,11,"[8, 12]",
en,01,6.py,12,"[0, 4]",
en,01,6.py,13,"[0, 1]",
en,01,6.py,14,"[5, 6]",
en,01,6.py,15,"[7, 10]",
en,01,6.py,sample_01,"[0, 1]",
en,01,6.py,sample_02,"[1, 2]",
en,01,6.py,sample_03,"[0, 1]",
