language,problem_number,suggestion,test_case,output,message
en,01,4.py,01,"[0, 11]",
en,01,4.py,02,"[5, 7]",
en,01,4.py,03,"[10, 15]",
en,01,4.py,04,"[0, 2]",
en,01,4.py,05,"[4, 6]",
en,01,4.py,06,"[3, 4]",
en,01,4.py,07,"[0, 4]",
en,01,4.py,08,"[2, 18]",
en,01,4.py,09,"[0, 3]",
en,01,4.py,10,"[0, 2]",
en,01,4.py,11,"[8, 12]",
en,01,4.py,12,"[0, 4]",
en,01,4.py,13,"[0, 1]",
en,01,4.py,14,"[5, 6]",
en,01,4.py,15,"[2, 2]",
en,01,4.py,sample_01,"[0, 1]",
en,01,4.py,sample_02,"[0, 0]",
en,01,4.py,sample_03,"[0, 0]",
