language,problem_number,suggestion,test_case,output,message
en,01,3.py,01,0 11 20 1,
en,01,3.py,02,0 11 20 1,
en,01,3.py,03,0 11 20 1,
en,01,3.py,04,0 11 20 1,
en,01,3.py,05,0 11 20 1,
en,01,3.py,06,0 11 20 1,
en,01,3.py,07,0 11 20 1,
en,01,3.py,08,0 11 20 1,
en,01,3.py,09,0 11 20 1,
en,01,3.py,10,0 11 20 1,
en,01,3.py,11,0 11 20 1,
en,01,3.py,12,0 11 20 1,
en,01,3.py,13,0 11 20 1,
en,01,3.py,14,0 11 20 1,
en,01,3.py,15,0 11 20 1,
en,01,3.py,sample_01,0 11 20 1,
en,01,3.py,sample_02,0 11 20 1,
en,01,3.py,sample_03,0 11 20 1,
